"Vineyard Name","Variety Name",WineColour,"Management Unit Variety Name Modifier","Management Unit Area","Management Unit Name","Management Unit Rows Total","Rows Numbers","Management Unit Row Width","Vine Spacing",VinesHa,"Total Vines",Clone,"Source Vineyard","Plant Date",Status
"Hannaford ","Cabernet Sauvignon",red,,0.9401440144014401,"1 east",21,"1 to 21",2.8,1.6,2222,2089,,,1996,Active
Kaards,"Cabernet Sauvignon",red,,0.38930885529157666,3a,7,"83 to 90",3,1.8,1852,721,"Houghton- super","Moss Wood",2019,Active
Kaards,"Cabernet Sauvignon",red,,4.55,1,67,"1 to 67",3,1.8,1852,8426.6,,,2002,Active
Kaards,Chardonnay,white,,0.9331200000000001,2,15,"68 to 82",3,1.44,2314.814814814815,2160,Gingin,Forrest,2022,Active
Kaards,,,,0.32883369330453566,3b,9,"91 to 99",3,1.8,1852,609,"Houghton- super","Moss Wood",2020,Fallow
"Krek Mueller  ","Cabernet Sauvignon",red,East,1.7851644506648006,4,49,"1 to 49",3.5,2,1429,2551,126,126,1998,Active
"Krek Mueller  ","Cabernet Sauvignon",red,New,0.5106382978723404,10,7,"43 to 49",3.5,1.6,1786,912,"QA 45","QA 45",2016,Active
"Krek Mueller  ","Cabernet Sauvignon",red,West,1.6473058082575227,3,25,"1 to 25",3.5,2,1429,2354,126,126,1998,Active
"Krek Mueller  ","Cabernet Sauvignon",red,,1.079776067179846,6,14,"1 to 14",3.5,2,1429,1543,"Mercier 191/337","Mercier 191/337",1998,Active
"Krek Mueller  ",Chardonnay,white,,0.6159014557670772,1b,5,"1 to 5",3.5,1.6,1786,1100,Gingin,Gingin,2018,Active
"Krek Mueller  ",Chardonnay,white,,1.5402379286214136,1a,16,"1 to 16",3.5,2,1429,2201,Gingin,Gingin,1998,Active
"Krek Mueller  ",Chardonnay,white,,1.6798655211057154,1b,8,"6 to 21",2.8,1.33,2677,4497,,,,Active
"Krek Mueller  ","Malbec ",red,New,0.5003498950314905,11,7,"50 to 57",3.5,2,1429,715,"QA 45","QA 45",2016,Active
"Krek Mueller  ",Merlot,red,"Bottom and Top",0.7914625612316305,7,20,"1 to 20",3.5,2,1429,1131,181,181,1998,Active
"Krek Mueller  ",Merlot,red,Grafts,0.6717984604618614,8,12,"21 to 32 ",3.5,2,1429,960,"Houghton 5","Houghton 5",2016,Active
"Krek Mueller  ",Merlot,red,New,0.7715565509518477,12,16,"58 to 73 ",3.5,1.6,1786,1378,233,233,2012,Active
"Krek Mueller  ","Petit Verdot",red,,0.22,13,10,"74 to 83",3.5,2,1428.5714285714287,315,233,233,2012,Active
"Krek Mueller  ","Sauvignon Blanc",white,,2.5997200839748076,5,22,"15 to 36",3.5,2,1429,3715,,,1998,Active
"Krek Mueller  ",Shiraz,red,,2.118964310706788,9,42,"1 to 42",3.5,2,1429,3028,,,2020,Active
Mairs,"Cabernet Sauvignon",red,,0.29983792544570503,,17,"1 to 17",3,1.8,1851,555,,,,Active
"Moses Rock","Cabernet Sauvignon",red,,2.0580558055805582,"MU 2",39,"1 to 39",3,1.5,2222,4573,,,2000,Active
"Moses Rock",Chardonnay,white,,1.0857828434313137,"MU 3",21,"1 to 21",3,2,1667,1810,,,2007,Active
"Moses Rock","Sauvignon Blanc",white,,1.0347930413917217,"MU 4",15,"1 to 15",3,2,1667,1725,,,2007,Active
"Moses Rock",Shiraz,red,,1.131863186318632,"MU 1",31,"1 to 31",3,1.5,2222,2515,,,2000,Active
Paganin,"Cabernet Sauvignon",red,,1.0201612903225807,3,12,"1 to 12",2.8,1.8,1984,2024,,,,Active
Paganin,Chardonnay,white,,2.253024193548387,2,63,"1 to 63 ",2.8,1.8,1984,4470,,,,Active
Paganin,Tempranillo,red,,1.5902217741935485,1,32,"1 to 32",2.8,1.8,1984,3155,,,,Active
Paganin,Tempranillo,red,,1.5997983870967742,1,51,"33 to 83",2.8,1.8,1984,3174,,,,Active
Roje,"Cabernet Sauvignon",red,,0.8355205599300087,"MU 3",9,"1 to 9",5,1.75,2286,1910,,,,Active
Roje,Chardonnay,white,Young,0.40454076367389064,"MU 7",15,14-28,3,1.72,1938,784,,,2007,Active
Roje,Chardonnay,white,,1.0810113519091846,4,31,"1-18, 1-13",3,1.72,1938,2095,277,,2007,Active
Roje,Malbec,red,,0.22522499999999998,1b,8,"1 to 8",3,1.75,1904.7619047619048,429,"Sauvignon Blanc rootstock",,,Active
Roje,Malbec,red,,0.238875,2b,4,"11 to 14",3,1.75,1904.7619047619048,455,,,2019,Active
Roje,"Sauvignon Blanc",white,,0.929775,1a,18,"1 to 18",3,1.75,1904.7619047619048,1771,,,,Active
Roje,Semillon,white,,0.5932499999999999,2a,10,"1 to 10",3,1.75,1904.7619047619048,1130,,,,Active
Roje,,,,0.327075,2c,6,"15 to 20",3,1.75,1904.7619047619048,623,,,,Fallow
"Rosa Park","Cabernet Franc",red,,0.40005,8a,14,"1 to 14",3,1.5,2222.222222222222,889,,,2001,Active
"Rosa Park","Cabernet Sauvignon",red,,0.710208,5b,13,"1 to 13",3.6,1.8,1543.20987654321,1096,Houghton,,1976,Active
"Rosa Park","Cabernet Sauvignon",red,,1.2798,1,23,"1 to 23",3.6,1.8,1543.20987654321,1975,Houghton,,1976,Active
"Rosa Park","Cabernet Sauvignon",red,,1.93995,4a,27,"1 to 27",3,1.5,2222.222222222222,4311,Houghton,,2001,Active
"Rosa Park","Cabernet Sauvignon",red,,2.57985,9,56,"1 to 26,      1 to 30",3,1.5,2222.222222222222,5733,Houghton,,2001,Active
"Rosa Park",Chardonnay,white,,0.6723,8c,9,"13 to 21",3,1.5,2222.222222222222,1494,Gingin,"Own Block 8e",2018,Active
"Rosa Park",Chardonnay,white,,1.6396799999999998,8d&e,19,1-4&1-15,3,1.6,2083.3333333333335,3416,"Davis 5","Davis 5",2001,Active
"Rosa Park",Chardonnay,white,,2.009265,3,40,"1 to 40",2.9,1.5,2298.8505747126437,4619,"Mixed (gingin and Davis 5)",Mixed,2008,Active
